"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","498.20","502.50","502.87","495.90","4.48M","-0.90%"
"2025- 09- 30","502.74","497.64","503.78","497.00","3.87M","0.70%"
"2025- 09- 29","499.25","500.00","500.25","495.02","5.16M","-0.16%"
"2025- 09- 26","500.03","496.94","502.10","496.65","3.71M","1.02%"
"2025- 09- 25","494.96","496.15","499.00","494.73","4.06M","-0.43%"
"2025- 09- 24","497.09","493.30","497.16","493.11","2.81M","0.61%"
"2025- 09- 23","494.10","493.77","499.28","493.52","3.93M","0.08%"
"2025- 09- 22","493.71","490.57","494.71","489.23","3.58M","0.17%"
"2025- 09- 19","492.85","491.87","494.50","488.88","7.36M","0.48%"
"2025- 09- 18","490.50","489.64","494.88","488.00","4.06M","-0.37%"
"2025- 09- 17","492.33","490.93","495.99","490.30","5.06M","0.27%"
"2025- 09- 16","490.99","491.27","491.92","487.20","4.07M","-0.11%"
"2025- 09- 15","491.54","493.60","495.27","489.50","3.63M","-0.45%"
"2025- 09- 12","493.74","495.74","497.63","493.34","2.95M","-0.64%"
"2025- 09- 11","496.91","489.33","497.24","489.03","3.67M","1.39%"
"2025- 09- 10","490.08","490.00","491.70","486.27","5.56M","-0.54%"
"2025- 09- 09","492.72","492.45","496.85","491.72","3.75M","-0.21%"
"2025- 09- 08","493.78","499.00","499.65","493.46","5.15M","-1.20%"
"2025- 09- 05","499.77","506.00","507.66","497.75","4.22M","-1.41%"
"2025- 09- 04","506.91","502.90","507.38","501.26","2.98M","1.08%"
"2025- 09- 03","501.49","499.55","502.11","496.59","3.21M","0.07%"
"2025- 09- 02","501.14","504.24","505.90","497.62","4.98M","-0.37%"
"2025- 08- 29","502.98","500.85","506.72","500.85","4.66M","0.62%"
"2025- 08- 28","499.86","498.03","500.14","496.07","4.53M","0.84%"
"2025- 08- 27","495.72","491.08","497.21","490.60","4.39M","0.71%"
"2025- 08- 26","492.21","485.02","492.79","484.53","8.22M","1.24%"
"2025- 08- 25","486.18","489.01","489.02","481.83","3.94M","-0.58%"
"2025- 08- 22","489.00","491.50","493.14","486.57","4.21M","0.08%"
"2025- 08- 21","488.59","487.24","489.05","483.68","3.08M","-0.02%"
"2025- 08- 20","488.68","487.00","492.22","485.83","4.78M","0.69%"
"2025- 08- 19","485.31","479.77","485.90","479.77","4.73M","1.42%"
"2025- 08- 18","478.52","477.97","479.00","474.66","3.91M","0.28%"
"2025- 08- 15","477.20","482.35","482.48","476.29","5.23M","-0.42%"
"2025- 08- 14","479.22","478.35","479.22","474.42","4.19M","0.40%"
"2025- 08- 13","477.31","471.70","479.60","471.50","4.63M","1.47%"
"2025- 08- 12","470.39","465.53","472.47","465.06","3.77M","1.22%"
"2025- 08- 11","464.73","466.46","468.49","463.50","3.71M","-0.14%"
"2025- 08- 08","465.40","462.94","465.83","462.55","3.33M","0.85%"
"2025- 08- 07","461.47","469.20","472.70","461.37","5.76M","-1.59%"
"2025- 08- 06","468.91","465.00","469.55","463.00","4.56M","1.02%"
"2025- 08- 05","464.19","460.60","467.58","460.38","6.78M","1.11%"
"2025- 08- 04","459.11","468.05","468.87","455.18","10.87M","-2.90%"
"2025- 08- 01","472.84","473.47","475.96","470.62","5.29M","0.20%"
"2025- 07- 31","471.88","472.61","477.70","471.88","6.32M","-0.87%"
"2025- 07- 30","476.00","475.13","479.41","473.88","3.80M","-0.12%"
"2025- 07- 29","476.56","482.57","485.00","476.28","4.19M","-1.07%"
