"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","333.39","328.14","337.95","324.50","21.12M","1.05%"
"2025- 09- 30","329.91","330.12","331.05","324.61","20.11M","0.61%"
"2025- 09- 29","327.90","336.00","341.05","327.55","21.34M","-1.98%"
"2025- 09- 26","334.53","337.43","339.08","330.58","15.46M","-0.47%"
"2025- 09- 25","336.10","332.99","338.06","327.30","21.68M","-0.95%"
"2025- 09- 24","339.31","339.76","340.08","333.81","19.68M","0.11%"
"2025- 09- 23","338.94","340.24","345.21","337.02","21.94M","0.04%"
"2025- 09- 22","338.79","342.42","346.67","337.94","28.66M","-1.78%"
"2025- 09- 19","344.94","344.65","346.27","336.43","41.24M","-0.12%"
"2025- 09- 18","345.35","350.00","350.70","343.79","24.66M","-0.24%"
"2025- 09- 17","346.17","358.85","359.93","341.50","45.20M","-3.84%"
"2025- 09- 16","360.00","365.42","365.69","356.99","21.31M","-1.12%"
"2025- 09- 15","364.09","359.87","365.50","356.34","21.79M","1.17%"
"2025- 09- 12","359.87","362.91","364.39","357.16","31.95M","0.07%"
"2025- 09- 11","359.63","371.18","374.23","358.76","29.43M","-2.69%"
"2025- 09- 10","369.57","351.52","372.97","350.55","51.09M","9.77%"
"2025- 09- 09","336.67","349.55","350.98","335.83","26.97M","-2.60%"
"2025- 09- 08","345.65","342.75","354.17","341.25","43.54M","3.21%"
"2025- 09- 05","334.89","355.78","356.34","331.42","78.40M","9.41%"
"2025- 09- 04","306.10","305.06","308.78","302.25","31.22M","1.23%"
"2025- 09- 03","302.39","302.29","304.45","296.40","18.53M","1.39%"
"2025- 09- 02","298.24","289.34","298.71","287.17","19.69M","0.29%"
"2025- 08- 29","297.39","307.01","307.01","293.66","21.61M","-3.65%"
"2025- 08- 28","308.65","302.93","311.00","302.33","18.91M","2.80%"
"2025- 08- 27","300.25","297.53","301.18","293.78","13.83M","0.75%"
"2025- 08- 26","298.01","294.35","300.25","293.99","25.69M","1.28%"
"2025- 08- 25","294.23","292.81","298.40","291.71","15.12M","0.08%"
"2025- 08- 22","294.00","291.74","300.09","289.01","16.30M","1.52%"
"2025- 08- 21","289.60","290.06","292.39","286.17","14.95M","-0.54%"
"2025- 08- 20","291.17","295.46","295.49","281.87","23.60M","-1.27%"
"2025- 08- 19","294.91","302.42","302.90","292.39","20.15M","-3.55%"
"2025- 08- 18","305.76","302.70","306.17","299.00","14.72M","-0.19%"
"2025- 08- 15","306.34","311.03","311.50","299.76","22.81M","-1.57%"
"2025- 08- 14","311.23","307.01","314.17","307.00","15.72M","0.69%"
"2025- 08- 13","309.09","316.75","317.35","304.75","17.37M","-1.20%"
"2025- 08- 12","312.83","306.63","313.44","304.67","17.62M","2.94%"
"2025- 08- 11","303.90","305.05","308.31","301.29","12.40M","-0.35%"
"2025- 08- 08","304.97","304.05","307.87","302.55","12.46M","0.40%"
"2025- 08- 07","303.76","306.17","310.34","299.88","16.32M","0.69%"
"2025- 08- 06","301.67","292.90","302.81","291.90","17.39M","2.98%"
"2025- 08- 05","292.93","297.81","301.20","291.45","18.48M","-1.61%"
"2025- 08- 04","297.72","292.20","298.48","291.40","17.16M","3.15%"
"2025- 08- 01","288.64","286.54","292.64","281.61","21.43M","-1.72%"
"2025- 07- 31","293.70","302.80","306.95","290.23","25.49M","-2.95%"
"2025- 07- 30","302.62","297.15","303.26","295.80","16.74M","1.75%"
"2025- 07- 29","297.42","297.50","302.19","294.87","19.21M","1.06%"
"2025- 07- 28","294.30","292.46","295.45","290.59","13.68M","1.42%"
"2025- 07- 25","290.18","288.07","292.59","287.27","12.48M","0.51%"
"2025- 07- 24","288.71","289.79","291.20","283.50","16.41M","1.77%"
"2025- 07- 23","283.69","276.78","284.00","273.00","20.56M","1.83%"
"2025- 07- 22","278.59","287.65","288.00","276.43","16.56M","-3.34%"
"2025- 07- 21","288.21","283.95","290.54","283.63","17.73M","1.72%"
"2025- 07- 18","283.34","287.11","287.53","281.00","15.01M","-1.09%"
"2025- 07- 17","286.45","281.14","288.28","279.91","17.23M","2.01%"
"2025- 07- 16","280.81","280.11","281.51","275.67","15.03M","-0.05%"
"2025- 07- 15","280.94","279.80","283.36","277.85","17.92M","1.94%"
"2025- 07- 14","275.60","274.13","278.36","269.58","11.93M","0.44%"
"2025- 07- 11","274.38","274.14","276.47","271.89","14.27M","-0.37%"
"2025- 07- 10","275.40","279.79","281.18","272.70","17.89M","-0.90%"
"2025- 07- 09","277.90","272.96","279.45","272.72","20.13M","2.24%"
"2025- 07- 08","271.80","276.35","276.35","271.15","14.87M","-0.87%"
"2025- 07- 07","274.18","275.13","277.56","272.66","16.76M","-0.36%"
"2025- 07- 03","275.18","270.73","275.80","270.12","10.59M","1.96%"
"2025- 07- 02","269.90","263.99","272.00","262.73","17.58M","1.95%"
"2025- 07- 01","264.74","274.40","274.50","262.66","28.85M","-3.96%"
"2025- 06- 30","275.65","274.73","277.70","272.13","24.71M","2.34%"
"2025- 06- 27","269.35","270.30","271.85","266.88","27.48M","-0.30%"
"2025- 06- 26","270.17","265.08","271.67","264.13","23.57M","2.09%"
"2025- 06- 25","264.65","266.00","269.87","263.43","18.89M","0.33%"
"2025- 06- 24","263.77","258.77","265.87","258.77","32.76M","3.94%"
"2025- 06- 23","253.77","249.10","254.21","246.46","19.75M","1.51%"
"2025- 06- 20","249.99","253.21","253.52","244.17","42.13M","-0.51%"
"2025- 06- 18","251.26","250.89","255.64","249.41","30.44M","0.76%"
"2025- 06- 17","249.37","250.95","253.96","247.92","22.01M","-1.08%"
"2025- 06- 16","252.10","250.35","255.19","249.57","20.36M","1.37%"
"2025- 06- 13","248.70","250.66","254.00","248.35","19.03M","-2.88%"
"2025- 06- 12","256.07","250.18","257.89","249.50","20.41M","1.25%"
"2025- 06- 11","252.91","246.35","254.77","243.80","24.60M","3.38%"
"2025- 06- 10","244.63","244.21","246.28","241.40","25.49M","0.14%"
"2025- 06- 09","244.28","245.04","248.17","241.11","25.33M","-1.07%"
"2025- 06- 06","246.93","251.14","255.32","246.13","41.15M","-5.00%"
"2025- 06- 05","259.93","262.95","264.89","259.06","42.33M","-0.44%"
"2025- 06- 04","261.08","258.06","265.43","257.59","31.54M","1.65%"
"2025- 06- 03","256.85","250.07","257.88","249.40","30.38M","3.27%"
"2025- 06- 02","248.71","243.25","250.00","243.19","19.20M","2.74%"
"2025- 05- 30","242.07","241.21","243.17","234.90","27.09M","0.04%"
"2025- 05- 29","241.97","245.90","246.07","237.40","20.77M","1.06%"
"2025- 05- 28","239.43","237.15","240.99","234.43","20.44M","1.60%"
"2025- 05- 27","235.65","232.87","236.48","231.13","17.94M","3.03%"
"2025- 05- 23","228.72","226.94","230.65","226.18","15.39M","-0.79%"
