"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","220.63","217.36","222.15","216.61","43.93M","0.48%"
"2025- 09- 30","219.57","222.03","222.24","217.89","48.40M","-1.17%"
"2025- 09- 29","222.17","220.08","222.60","219.30","44.26M","1.09%"
"2025- 09- 26","219.78","219.08","221.05","218.02","41.65M","0.75%"
"2025- 09- 25","218.15","220.06","220.67","216.47","52.23M","-0.94%"
"2025- 09- 24","220.21","224.15","224.56","219.45","49.51M","-0.23%"
"2025- 09- 23","220.71","227.83","227.86","220.07","70.96M","-3.04%"
"2025- 09- 22","227.63","230.56","230.57","227.51","45.91M","-1.66%"
"2025- 09- 19","231.48","232.37","234.16","229.70","97.94M","0.11%"
"2025- 09- 18","231.23","232.50","233.48","228.79","37.93M","-0.17%"
"2025- 09- 17","231.62","233.77","234.30","228.71","42.82M","-1.04%"
"2025- 09- 16","234.05","232.93","235.90","232.23","38.20M","1.13%"
"2025- 09- 15","231.43","230.63","233.73","230.32","33.24M","1.44%"
"2025- 09- 12","228.15","230.35","230.79","226.29","38.50M","-0.78%"
"2025- 09- 11","229.95","231.49","231.53","229.34","37.49M","-0.16%"
"2025- 09- 10","230.33","237.51","237.68","229.10","60.91M","-3.32%"
"2025- 09- 09","238.24","236.35","238.85","235.08","27.03M","1.02%"
"2025- 09- 08","235.84","234.94","237.60","233.75","33.95M","1.51%"
"2025- 09- 05","232.33","235.19","236.00","231.93","36.72M","-1.42%"
"2025- 09- 04","235.68","231.18","235.77","230.78","59.39M","4.29%"
"2025- 09- 03","225.99","225.21","227.17","224.36","29.22M","0.29%"
"2025- 09- 02","225.34","223.52","226.17","221.83","38.84M","-1.60%"
"2025- 08- 29","229.00","231.32","231.81","228.16","26.20M","-1.12%"
"2025- 08- 28","231.60","229.01","232.71","228.02","33.68M","1.08%"
"2025- 08- 27","229.12","228.57","229.87","227.81","21.25M","0.18%"
"2025- 08- 26","228.71","227.11","229.00","226.02","26.11M","0.34%"
"2025- 08- 25","227.94","227.35","229.60","227.31","22.63M","-0.39%"
"2025- 08- 22","228.84","222.79","229.14","220.82","37.32M","3.10%"
"2025- 08- 21","221.95","222.65","222.78","220.50","32.14M","-0.83%"
"2025- 08- 20","223.81","227.12","227.27","220.91","36.60M","-1.84%"
"2025- 08- 19","228.01","230.09","230.53","227.12","29.89M","-1.50%"
"2025- 08- 18","231.49","230.23","231.91","228.33","25.25M","0.20%"
"2025- 08- 15","231.03","232.58","234.08","229.81","39.65M","0.02%"
"2025- 08- 14","230.98","227.40","233.11","227.02","61.55M","2.86%"
"2025- 08- 13","224.56","222.00","224.92","222.00","36.51M","1.40%"
"2025- 08- 12","221.47","222.23","223.50","219.05","37.25M","0.08%"
"2025- 08- 11","221.30","221.78","223.05","220.40","31.65M","-0.62%"
"2025- 08- 08","222.69","223.14","223.80","221.88","32.97M","-0.20%"
"2025- 08- 07","223.13","221.00","226.22","220.82","40.60M","0.37%"
"2025- 08- 06","222.31","214.70","222.65","213.74","54.82M","4.00%"
"2025- 08- 05","213.75","213.05","216.30","212.87","51.51M","0.99%"
"2025- 08- 04","211.65","217.40","217.44","211.42","77.89M","-1.44%"
"2025- 08- 01","214.75","217.21","220.44","212.80","122.26M","-8.27%"
"2025- 07- 31","234.11","235.77","236.53","231.40","104.36M","1.70%"
"2025- 07- 30","230.19","231.64","231.80","229.29","32.99M","-0.35%"
"2025- 07- 29","231.01","234.15","234.72","230.31","33.72M","-0.76%"
"2025- 07- 28","232.79","233.35","234.29","232.25","26.30M","0.58%"
"2025- 07- 25","231.44","232.22","232.48","231.18","28.71M","-0.34%"
"2025- 07- 24","232.23","229.17","236.00","228.64","42.90M","1.73%"
"2025- 07- 23","228.29","228.47","228.79","227.09","28.29M","0.36%"
"2025- 07- 22","227.47","229.68","230.00","226.35","37.48M","-0.80%"
"2025- 07- 21","229.30","225.84","229.69","225.65","40.30M","1.40%"
"2025- 07- 18","226.13","225.14","226.40","222.98","37.83M","1.01%"
"2025- 07- 17","223.88","223.32","224.50","222.51","31.86M","0.31%"
"2025- 07- 16","223.19","225.88","226.10","222.18","39.54M","-1.40%"
"2025- 07- 15","226.35","226.20","227.27","225.46","34.91M","0.29%"
"2025- 07- 14","225.69","225.07","226.66","224.24","35.70M","0.30%"
"2025- 07- 11","225.02","223.58","226.68","222.37","50.52M","1.24%"
"2025- 07- 10","222.26","221.55","222.79","219.70","30.37M","-0.13%"
"2025- 07- 09","222.54","221.07","224.29","220.47","38.16M","1.45%"
"2025- 07- 08","219.36","223.91","224.00","218.43","45.69M","-1.84%"
"2025- 07- 07","223.47","223.00","224.29","222.37","36.60M","0.03%"
"2025- 07- 03","223.41","221.82","224.01","221.36","29.63M","1.59%"
"2025- 07- 02","219.92","219.73","221.60","219.06","30.89M","-0.24%"
"2025- 07- 01","220.46","219.50","221.88","217.93","39.26M","0.49%"
"2025- 06- 30","219.39","223.52","223.82","219.12","58.89M","-1.75%"
"2025- 06- 27","223.30","219.92","223.30","216.74","119.22M","2.85%"
"2025- 06- 26","217.12","213.12","218.04","212.01","50.48M","2.42%"
"2025- 06- 25","211.99","214.62","216.03","211.11","31.76M","-0.37%"
"2025- 06- 24","212.77","212.13","214.34","211.04","38.38M","2.06%"
"2025- 06- 23","208.47","209.79","210.39","207.31","37.31M","-0.58%"
"2025- 06- 20","209.69","214.68","214.89","208.27","75.35M","-1.33%"
"2025- 06- 18","212.52","215.09","217.96","212.34","44.36M","-1.07%"
"2025- 06- 17","214.82","215.20","217.41","214.56","32.09M","-0.59%"
"2025- 06- 16","216.10","212.31","217.06","211.60","33.28M","1.89%"
"2025- 06- 13","212.10","209.96","214.05","209.62","29.34M","-0.53%"
"2025- 06- 12","213.24","211.78","213.58","211.33","27.64M","0.02%"
"2025- 06- 11","213.20","217.41","218.40","212.89","39.33M","-2.03%"
"2025- 06- 10","217.61","216.78","217.69","214.15","31.30M","0.29%"
