"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","244.90","240.75","246.30","238.61","31.66M","0.74%"
"2025- 09- 30","243.10","242.81","243.29","239.24","34.72M","-0.39%"
"2025- 09- 29","244.05","247.85","251.15","242.77","32.51M","-1.01%"
"2025- 09- 26","246.54","247.07","249.42","245.97","18.50M","0.31%"
"2025- 09- 25","245.79","244.40","246.49","240.74","31.02M","-0.55%"
"2025- 09- 24","247.14","251.66","252.35","246.44","28.20M","-1.80%"
"2025- 09- 23","251.66","253.04","254.36","250.48","26.63M","-0.34%"
"2025- 09- 22","252.53","254.43","255.78","250.30","32.29M","-0.86%"
"2025- 09- 19","254.72","253.25","256.00","251.81","55.57M","1.07%"
"2025- 09- 18","252.03","251.68","253.99","249.80","31.24M","1.00%"
"2025- 09- 17","249.53","251.22","251.60","246.28","34.11M","-0.65%"
"2025- 09- 16","251.16","252.08","253.04","249.47","34.11M","-0.18%"
"2025- 09- 15","251.61","244.66","252.41","244.66","58.38M","4.49%"
"2025- 09- 12","240.80","240.37","242.07","238.00","26.77M","0.18%"
"2025- 09- 11","240.37","239.88","242.25","236.25","30.60M","0.50%"
"2025- 09- 10","239.17","238.90","241.66","237.85","35.14M","-0.19%"
"2025- 09- 09","239.63","234.16","240.47","233.23","38.06M","2.39%"
"2025- 09- 08","234.04","235.47","238.13","233.67","32.47M","-0.41%"
"2025- 09- 05","235.00","232.20","235.76","231.90","46.59M","1.16%"
"2025- 09- 04","232.30","229.65","232.37","226.11","51.68M","0.71%"
"2025- 09- 03","230.66","226.21","231.31","224.79","103.34M","9.14%"
"2025- 09- 02","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"2025- 08- 29","212.91","210.51","214.65","210.20","39.73M","0.60%"
"2025- 08- 28","211.64","207.25","212.22","206.90","32.34M","2.01%"
"2025- 08- 27","207.48","205.70","208.91","205.65","23.02M","0.16%"
"2025- 08- 26","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"2025- 08- 25","208.49","206.43","210.52","205.28","29.93M","1.16%"
"2025- 08- 22","206.09","202.73","208.54","201.30","42.83M","3.17%"
"2025- 08- 21","199.75","199.74","202.48","199.43","19.77M","0.22%"
"2025- 08- 20","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"2025- 08- 19","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"2025- 08- 18","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"2025- 08- 15","203.90","203.85","206.44","201.28","34.93M","0.47%"
"2025- 08- 14","202.94","201.50","204.44","201.23","25.23M","0.49%"
"2025- 08- 13","201.96","204.13","204.53","197.51","28.34M","-0.68%"
"2025- 08- 12","203.34","201.37","204.50","200.59","30.42M","1.16%"
"2025- 08- 11","201.00","200.93","201.48","199.07","25.83M","-0.21%"
"2025- 08- 08","201.42","197.22","202.61","197.17","39.16M","2.49%"
"2025- 08- 07","196.52","197.06","197.54","194.33","26.32M","0.22%"
"2025- 08- 06","196.09","194.50","196.63","193.67","21.56M","0.73%"
"2025- 08- 05","194.67","194.71","197.86","193.88","31.60M","-0.19%"
"2025- 08- 04","195.04","190.29","195.27","190.12","31.55M","3.12%"
"2025- 08- 01","189.13","189.02","190.83","187.82","34.83M","-1.44%"
"2025- 07- 31","191.90","195.71","195.99","191.09","51.33M","-2.36%"
"2025- 07- 30","196.53","195.60","197.60","194.68","32.45M","0.40%"
"2025- 07- 29","195.75","192.43","195.92","192.08","41.39M","1.65%"
"2025- 07- 28","192.58","193.65","194.05","190.84","38.14M","-0.31%"
"2025- 07- 25","193.18","191.98","194.33","191.26","39.79M","0.53%"
"2025- 07- 24","192.17","197.03","197.95","191.00","74.88M","1.02%"
"2025- 07- 23","190.23","191.50","192.53","189.18","58.68M","-0.58%"
"2025- 07- 22","191.34","191.49","191.65","187.46","44.66M","0.65%"
"2025- 07- 21","190.10","186.25","190.29","186.15","45.80M","2.72%"
"2025- 07- 18","185.06","185.40","186.42","183.71","34.01M","0.81%"
"2025- 07- 17","183.58","182.14","184.06","180.48","31.99M","0.33%"
"2025- 07- 16","182.97","183.24","184.33","182.03","33.10M","0.53%"
"2025- 07- 15","182.00","182.81","184.22","181.60","33.45M","0.24%"
"2025- 07- 14","181.56","181.01","183.67","179.68","32.54M","0.76%"
"2025- 07- 11","180.19","176.79","181.43","176.48","34.28M","1.45%"
"2025- 07- 10","177.62","175.63","178.43","174.38","29.25M","0.57%"
"2025- 07- 09","176.62","175.25","179.44","172.77","43.03M","1.30%"
"2025- 07- 08","174.36","177.85","177.95","172.81","40.44M","-1.37%"
"2025- 07- 07","176.79","179.06","179.30","175.68","34.18M","-1.53%"
"2025- 07- 03","179.53","178.50","179.67","177.05","21.69M","0.50%"
"2025- 07- 02","178.64","175.54","178.86","175.07","29.13M","1.59%"
