"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","255.45","255.04","258.79","254.93","48.71M","0.32%"
"2025- 09- 30","254.63","254.85","255.92","253.11","37.70M","0.08%"
"2025- 09- 29","254.43","254.56","255.00","253.01","40.13M","-0.40%"
"2025- 09- 26","255.46","254.10","257.60","253.78","46.08M","-0.55%"
"2025- 09- 25","256.87","253.21","257.17","251.71","55.20M","1.81%"
"2025- 09- 24","252.31","255.22","255.74","251.04","42.30M","-0.83%"
"2025- 09- 23","254.43","255.88","257.34","253.58","60.28M","-0.64%"
"2025- 09- 22","256.08","248.30","256.64","248.12","105.52M","4.31%"
"2025- 09- 19","245.50","241.23","246.30","240.21","163.74M","3.20%"
"2025- 09- 18","237.88","239.97","241.20","236.65","44.25M","-0.46%"
"2025- 09- 17","238.99","238.97","240.10","237.73","46.51M","0.35%"
"2025- 09- 16","238.15","237.18","241.22","236.32","63.42M","0.61%"
"2025- 09- 15","236.70","237.00","238.19","235.03","42.70M","1.12%"
"2025- 09- 12","234.07","229.22","234.51","229.02","55.82M","1.76%"
"2025- 09- 11","230.03","226.88","230.45","226.65","50.21M","1.43%"
"2025- 09- 10","226.79","232.18","232.42","225.95","83.44M","-3.23%"
"2025- 09- 09","234.35","237.00","238.78","233.36","66.31M","-1.48%"
"2025- 09- 08","237.88","239.30","240.15","236.34","49.00M","-0.76%"
"2025- 09- 05","239.69","239.99","241.32","238.49","54.87M","-0.04%"
"2025- 09- 04","239.78","238.45","239.90","236.74","47.55M","0.55%"
"2025- 09- 03","238.47","237.21","238.85","234.36","66.43M","3.81%"
"2025- 09- 02","229.72","229.25","230.85","226.97","44.08M","-1.04%"
"2025- 08- 29","232.14","232.51","233.38","231.37","39.42M","-0.18%"
"2025- 08- 28","232.56","230.82","233.41","229.34","38.07M","0.90%"
"2025- 08- 27","230.49","228.61","230.90","228.26","31.26M","0.51%"
"2025- 08- 26","229.31","226.87","229.49","224.69","54.58M","0.95%"
"2025- 08- 25","227.16","226.48","229.30","226.23","30.98M","-0.26%"
"2025- 08- 22","227.76","226.17","229.09","225.41","42.48M","1.27%"
"2025- 08- 21","224.90","226.27","226.52","223.78","30.62M","-0.49%"
"2025- 08- 20","226.01","229.98","230.47","225.77","42.26M","-1.97%"
"2025- 08- 19","230.56","231.27","232.87","229.35","39.40M","-0.14%"
"2025- 08- 18","230.89","231.70","233.12","230.11","37.48M","-0.30%"
"2025- 08- 15","231.59","234.00","234.28","229.34","56.04M","-0.51%"
"2025- 08- 14","232.78","234.05","235.12","230.85","51.92M","-0.24%"
"2025- 08- 13","233.33","231.07","235.00","230.43","69.88M","1.60%"
"2025- 08- 12","229.65","228.01","230.80","227.07","55.67M","1.09%"
"2025- 08- 11","227.18","227.92","229.56","224.76","61.81M","-0.95%"
"2025- 08- 08","229.35","220.83","231.00","219.25","113.85M","4.24%"
"2025- 08- 07","220.03","218.88","220.85","216.58","90.22M","3.18%"
"2025- 08- 06","213.25","205.63","215.38","205.59","108.48M","5.09%"
"2025- 08- 05","202.92","203.40","205.34","202.16","44.16M","-0.21%"
"2025- 08- 04","203.35","204.51","207.88","201.68","75.11M","0.48%"
"2025- 08- 01","202.38","210.87","213.58","201.50","104.43M","-2.50%"
"2025- 07- 31","207.57","208.49","209.84","207.16","80.70M","-0.71%"
"2025- 07- 30","209.05","211.90","212.39","207.72","45.51M","-1.05%"
"2025- 07- 29","211.27","214.18","214.81","210.82","51.41M","-1.30%"
"2025- 07- 28","214.05","214.03","214.85","213.06","37.86M","0.08%"
"2025- 07- 25","213.88","214.70","215.24","213.40","40.27M","0.06%"
"2025- 07- 24","213.76","213.90","215.69","213.53","46.02M","-0.18%"
"2025- 07- 23","214.15","215.00","215.15","212.41","46.99M","-0.12%"
"2025- 07- 22","214.40","213.14","214.95","212.23","46.40M","0.90%"
"2025- 07- 21","212.48","212.10","215.78","211.63","51.38M","0.62%"
"2025- 07- 18","211.18","210.87","211.79","209.70","48.97M","0.55%"
"2025- 07- 17","210.02","210.57","211.80","209.59","48.07M","-0.07%"
"2025- 07- 16","210.16","210.29","212.40","208.64","47.49M","0.50%"
"2025- 07- 15","209.11","209.22","211.89","208.92","42.30M","0.23%"
"2025- 07- 14","208.62","209.93","210.91","207.54","38.84M","-1.20%"
"2025- 07- 11","211.16","210.57","212.13","209.86","39.77M","-0.59%"
"2025- 07- 10","212.41","210.51","213.48","210.03","44.44M","0.60%"
"2025- 07- 09","211.14","209.53","211.33","207.22","48.75M","0.54%"
"2025- 07- 08","210.01","210.10","211.43","208.45","42.85M","0.03%"
"2025- 07- 07","209.95","212.68","216.23","208.80","50.23M","-1.69%"
"2025- 07- 03","213.55","212.15","214.65","211.81","34.96M","0.52%"
"2025- 07- 02","212.44","208.91","213.34","208.14","67.94M","2.22%"
"2025- 07- 01","207.82","206.66","210.19","206.14","78.79M","1.29%"
"2025- 06- 30","205.17","202.01","207.39","199.26","91.91M","2.03%"
"2025- 06- 27","201.08","201.89","203.22","200.00","73.19M","0.04%"
"2025- 06- 26","201.00","201.43","202.64","199.46","50.80M","-0.28%"
"2025- 06- 25","201.56","201.45","203.67","200.62","39.53M","0.63%"
"2025- 06- 24","200.30","202.59","203.44","200.20","54.06M","-0.60%"
"2025- 06- 23","201.50","201.63","202.30","198.96","55.81M","0.25%"
"2025- 06- 20","201.00","198.24","201.70","196.85","96.81M","2.25%"
"2025- 06- 18","196.58","195.94","197.57","195.07","45.39M","0.48%"
"2025- 06- 17","195.64","197.20","198.39","195.21","38.86M","-1.40%"
"2025- 06- 16","198.42","197.30","198.68","196.56","43.02M","1.00%"
"2025- 06- 13","196.45","199.73","200.37","195.70","51.45M","-1.38%"
"2025- 06- 12","199.20","199.08","199.68","197.36","43.90M","0.21%"
"2025- 06- 11","198.78","203.50","204.50","198.41","60.99M","-1.92%"
"2025- 06- 10","202.67","200.60","204.35","200.57","54.67M","0.61%"
"2025- 06- 09","201.45","204.39","206.00","200.02","72.86M","-1.21%"
"2025- 06- 06","203.92","203.00","205.70","202.05","46.61M","1.64%"
