"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","187.24","185.24","188.14","183.90","173.84M","0.35%"
"2025- 09- 30","186.58","182.08","187.35","181.48","236.98M","2.60%"
"2025- 09- 29","181.85","180.43","184.00","180.32","193.06M","2.05%"
"2025- 09- 26","178.19","178.17","179.77","174.93","148.57M","0.28%"
"2025- 09- 25","177.69","174.48","180.26","173.13","191.59M","0.41%"
"2025- 09- 24","176.97","179.77","179.78","175.40","143.56M","-0.82%"
"2025- 09- 23","178.43","181.97","182.42","176.21","192.56M","-2.82%"
"2025- 09- 22","183.61","175.30","184.55","174.71","269.64M","3.93%"
"2025- 09- 19","176.67","175.77","178.08","175.18","237.18M","0.24%"
"2025- 09- 18","176.24","173.98","177.10","172.96","191.76M","3.49%"
"2025- 09- 17","170.29","172.64","173.20","168.41","211.84M","-2.62%"
"2025- 09- 16","174.88","177.00","177.50","174.38","140.74M","-1.61%"
"2025- 09- 15","177.75","175.67","178.85","174.51","147.06M","-0.04%"
"2025- 09- 12","177.82","177.77","178.60","176.45","124.91M","0.37%"
"2025- 09- 11","177.17","179.68","180.28","176.48","151.16M","-0.09%"
"2025- 09- 10","177.33","176.64","179.29","175.47","226.85M","3.85%"
"2025- 09- 09","170.76","169.09","170.98","166.74","157.55M","1.46%"
"2025- 09- 08","168.31","167.55","170.96","167.35","163.77M","0.77%"
"2025- 09- 05","167.02","168.03","169.03","164.07","224.44M","-2.70%"
"2025- 09- 04","171.66","170.57","171.86","169.41","141.67M","0.61%"
"2025- 09- 03","170.62","171.06","172.41","168.88","164.42M","-0.09%"
"2025- 09- 02","170.78","170.00","172.38","167.22","231.16M","-1.95%"
"2025- 08- 29","174.18","178.11","178.15","173.15","243.26M","-3.32%"
"2025- 08- 28","180.17","180.82","184.47","176.41","281.79M","-0.79%"
"2025- 08- 27","181.60","181.98","182.49","179.10","235.52M","-0.09%"
"2025- 08- 26","181.77","180.05","182.39","178.81","168.69M","1.09%"
"2025- 08- 25","179.81","178.35","181.91","176.57","163.01M","1.02%"
"2025- 08- 22","177.99","172.61","178.59","171.20","172.79M","1.72%"
"2025- 08- 21","174.98","174.85","176.90","173.81","140.04M","-0.24%"
"2025- 08- 20","175.40","175.16","176.00","168.80","215.14M","-0.14%"
"2025- 08- 19","175.64","182.43","182.50","175.49","185.23M","-3.50%"
"2025- 08- 18","182.01","180.60","182.94","180.59","132.01M","0.86%"
"2025- 08- 15","180.45","181.88","181.90","178.04","156.60M","-0.86%"
"2025- 08- 14","182.02","179.75","183.02","179.46","129.55M","0.24%"
"2025- 08- 13","181.59","182.62","183.97","179.35","179.87M","-0.86%"
"2025- 08- 12","183.16","182.96","184.48","179.46","145.73M","0.60%"
"2025- 08- 11","182.06","182.05","183.84","180.25","138.32M","-0.35%"
"2025- 08- 08","182.70","181.55","183.30","180.40","123.40M","1.07%"
"2025- 08- 07","180.77","181.57","183.88","178.79","151.88M","0.75%"
"2025- 08- 06","179.42","176.32","179.90","176.25","137.19M","0.65%"
"2025- 08- 05","178.26","179.62","180.26","175.90","156.41M","-0.97%"
"2025- 08- 04","180.00","175.16","180.20","174.52","148.17M","3.62%"
"2025- 08- 01","173.72","174.09","176.54","170.89","204.53M","-2.33%"
"2025- 07- 31","177.87","182.90","183.30","175.93","221.69M","-0.78%"
"2025- 07- 30","179.27","176.51","179.89","176.04","174.31M","2.14%"
"2025- 07- 29","175.51","177.96","179.38","175.02","154.08M","-0.70%"
"2025- 07- 28","176.75","174.02","177.00","173.97","140.02M","1.87%"
"2025- 07- 25","173.50","173.61","174.72","172.96","122.32M","-0.14%"
"2025- 07- 24","173.74","172.44","173.83","171.30","128.98M","1.73%"
"2025- 07- 23","170.78","169.53","171.26","167.97","154.08M","2.25%"
"2025- 07- 22","167.03","171.34","171.39","164.58","193.11M","-2.54%"
"2025- 07- 21","171.38","172.75","173.38","171.00","123.13M","-0.60%"
"2025- 07- 18","172.41","173.64","174.25","171.26","146.46M","-0.34%"
"2025- 07- 17","173.00","172.02","174.16","170.83","160.84M","0.95%"
"2025- 07- 16","171.37","171.06","171.75","168.90","158.83M","0.39%"
"2025- 07- 15","170.70","171.19","172.40","169.20","230.63M","4.04%"
"2025- 07- 14","164.07","165.37","165.49","162.02","136.98M","-0.52%"
"2025- 07- 11","164.92","163.71","167.89","163.47","193.63M","0.50%"
"2025- 07- 10","164.10","164.32","164.50","161.61","167.70M","0.75%"
"2025- 07- 09","162.88","161.22","164.42","161.16","183.66M","1.80%"
"2025- 07- 08","160.00","159.33","160.22","158.39","138.13M","1.11%"
"2025- 07- 07","158.24","158.20","159.31","157.34","140.14M","-0.69%"
"2025- 07- 03","159.34","158.37","160.98","157.77","143.72M","1.33%"
"2025- 07- 02","157.25","152.98","157.60","152.97","171.22M","2.58%"
"2025- 07- 01","153.30","156.29","157.20","151.49","213.14M","-2.97%"
"2025- 06- 30","157.99","158.40","158.66","155.96","194.58M","0.15%"
"2025- 06- 27","157.75","156.04","158.71","155.26","263.23M","1.76%"
"2025- 06- 26","155.02","155.98","156.71","154.00","198.15M","0.46%"
"2025- 06- 25","154.31","149.27","154.45","149.26","269.15M","4.33%"
"2025- 06- 24","147.90","145.56","147.96","145.50","187.57M","2.59%"
"2025- 06- 23","144.17","142.50","144.78","142.03","154.31M","0.22%"
"2025- 06- 20","143.85","145.45","146.20","142.65","242.96M","-1.12%"
"2025- 06- 18","145.48","144.01","145.65","143.12","161.49M","0.94%"
"2025- 06- 17","144.12","144.49","145.22","143.78","139.11M","-0.39%"
"2025- 06- 16","144.69","143.35","146.18","143.20","183.13M","1.92%"
"2025- 06- 13","141.97","142.48","143.58","140.85","180.82M","-2.09%"
"2025- 06- 12","145.00","141.97","145.00","141.85","162.36M","1.52%"
"2025- 06- 11","142.83","144.61","144.99","141.87","167.69M","-0.78%"
"2025- 06- 10","143.96","142.69","144.29","141.52","155.88M","0.93%"
"2025- 06- 09","142.63","143.19","145.00","141.94","185.11M","0.64%"
"2025- 06- 06","141.72","142.51","143.27","141.51","153.99M","1.24%"
"2025- 06- 05","139.99","142.17","144.00","138.83","232.41M","-1.36%"
"2025- 06- 04","141.92","142.19","142.39","139.54","167.12M","0.50%"
"2025- 06- 03","141.22","138.78","142.00","137.95","225.58M","2.80%"
"2025- 06- 02","137.38","135.49","138.12","135.40","197.66M","1.67%"
"2025- 05- 30","135.13","138.71","139.62","132.92","333.17M","-2.92%"
"2025- 05- 29","139.19","142.24","143.49","137.91","370.62M","3.25%"
"2025- 05- 28","134.81","136.02","137.25","134.79","304.02M","-0.51%"
"2025- 05- 27","135.50","134.15","135.66","133.31","192.95M","3.21%"
"2025- 05- 23","131.29","130.00","132.68","129.16","198.82M","-1.16%"
"2025- 05- 22","132.83","132.23","134.25","131.55","187.34M","0.78%"
"2025- 05- 21","131.80","133.06","137.40","130.59","270.61M","-1.92%"
"2025- 05- 20","134.38","134.29","134.58","132.62","161.51M","-0.88%"
"2025- 05- 19","135.57","132.39","135.87","132.39","193.15M","0.13%"
"2025- 05- 16","135.40","136.22","136.35","133.46","226.54M","0.42%"
"2025- 05- 15","134.83","134.29","136.30","132.66","226.63M","-0.38%"
"2025- 05- 14","135.34","133.20","135.43","131.68","281.18M","4.16%"
"2025- 05- 13","129.93","124.98","131.22","124.47","330.43M","5.63%"
"2025- 05- 12","123.00","121.97","123.00","120.28","225.02M","5.44%"
"2025- 05- 09","116.65","117.35","118.23","115.21","132.97M","-0.61%"
"2025- 05- 08","117.37","118.25","118.68","115.85","198.43M","0.26%"
"2025- 05- 07","117.06","113.04","117.68","112.28","207.83M","3.10%"
"2025- 05- 06","113.54","111.48","114.74","110.82","158.53M","-0.25%"
"2025- 05- 05","113.82","112.90","114.67","112.66","133.16M","-0.59%"
"2025- 05- 02","114.50","114.18","115.40","113.37","190.19M","2.59%"
"2025- 05- 01","111.61","113.08","114.94","111.30","236.12M","2.47%"
"2025- 04- 30","108.92","104.47","108.92","104.08","235.04M","-0.09%"
"2025- 04- 29","109.02","107.67","110.20","107.44","170.44M","0.27%"
"2025- 04- 28","108.73","109.69","110.37","106.02","207.71M","-2.05%"
"2025- 04- 25","111.01","106.85","111.92","105.73","251.06M","4.30%"
"2025- 04- 24","106.43","103.47","106.54","103.11","220.82M","3.62%"
"2025- 04- 23","102.71","104.52","104.80","102.02","247.53M","3.86%"
"2025- 04- 22","98.89","98.78","99.81","97.28","241.00M","2.04%"
"2025- 04- 21","96.91","98.77","99.44","95.04","288.50M","-4.51%"
"2025- 04- 17","101.49","104.45","104.47","100.05","292.52M","-2.87%"
"2025- 04- 16","104.49","104.55","106.79","100.45","397.02M","-6.87%"
"2025- 04- 15","112.20","110.97","113.61","110.50","228.97M","1.35%"
"2025- 04- 14","110.71","114.11","114.29","109.07","264.71M","-0.20%"
"2025- 04- 11","110.93","108.50","111.55","107.48","313.42M","3.12%"
"2025- 04- 10","107.57","109.37","110.86","99.15","437.81M","-5.91%"
"2025- 04- 09","114.33","98.89","115.10","97.53","612.92M","18.72%"
"2025- 04- 08","96.30","103.81","105.85","94.46","476.24M","-1.37%"
"2025- 04- 07","97.64","87.46","101.75","86.62","611.04M","3.53%"
"2025- 04- 04","94.31","98.91","100.13","92.11","532.27M","-7.36%"
"2025- 04- 03","101.80","103.51","105.63","101.60","338.77M","-7.81%"
"2025- 04- 02","110.42","107.29","111.98","106.79","220.60M","0.25%"
"2025- 04- 01","110.15","108.51","110.20","106.47","222.61M","1.63%"
"2025- 03- 31","108.38","105.13","110.96","103.65","299.21M","-1.18%"
"2025- 03- 28","109.67","111.49","112.87","109.07","229.87M","-1.58%"
"2025- 03- 27","111.43","111.35","114.45","110.66","236.90M","-2.05%"
"2025- 03- 26","113.76","118.73","118.84","112.71","296.43M","-5.74%"
"2025- 03- 25","120.69","120.54","121.29","118.92","167.45M","-0.59%"
"2025- 03- 24","121.41","119.88","122.22","119.34","228.45M","3.15%"
"2025- 03- 21","117.70","116.94","117.99","115.42","266.50M","-0.70%"
"2025- 03- 20","118.53","116.55","120.20","116.47","248.83M","0.86%"
"2025- 03- 19","117.52","117.27","120.44","115.68","273.43M","1.81%"
"2025- 03- 18","115.43","118.00","119.02","114.54","299.69M","-3.43%"
"2025- 03- 17","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"2025- 03- 14","121.67","118.61","121.88","118.15","277.59M","5.27%"
"2025- 03- 13","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"2025- 03- 12","115.74","114.12","116.76","112.88","323.86M","6.42%"
"2025- 03- 11","108.76","106.99","112.24","104.77","354.87M","1.66%"
"2025- 03- 10","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"2025- 03- 07","112.69","111.25","113.48","107.56","341.76M","1.92%"
