"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","101.96","102.56","102.86","100.55","16.14M","-1.07%"
"2025- 09- 30","103.06","103.00","103.93","102.72","13.87M","-0.02%"
"2025- 09- 29","103.08","103.05","103.31","102.07","15.48M","-0.08%"
"2025- 09- 26","103.16","102.88","103.49","102.47","11.86M","0.11%"
"2025- 09- 25","103.05","103.21","103.51","102.58","13.37M","0.31%"
"2025- 09- 24","102.73","103.04","103.47","102.47","11.39M","0.20%"
"2025- 09- 23","102.52","102.41","102.68","101.33","13.16M","-0.29%"
"2025- 09- 22","102.82","102.45","103.20","101.92","12.86M","0.48%"
"2025- 09- 19","102.33","103.81","103.94","102.09","34.79M","-1.23%"
"2025- 09- 18","103.60","103.78","104.64","102.12","14.87M","-0.64%"
"2025- 09- 17","104.27","103.73","106.11","103.73","25.38M","0.82%"
"2025- 09- 16","103.42","103.85","104.21","103.13","14.48M","-0.26%"
"2025- 09- 15","103.69","103.65","103.98","103.40","10.76M","0.19%"
"2025- 09- 12","103.49","102.54","103.97","102.36","11.64M","0.82%"
"2025- 09- 11","102.65","100.99","102.78","100.28","15.90M","2.23%"
"2025- 09- 10","100.41","101.95","102.45","100.39","17.93M","-1.84%"
"2025- 09- 09","102.29","102.00","102.49","101.55","11.82M","0.01%"
"2025- 09- 08","102.28","100.85","102.36","100.42","13.69M","1.76%"
"2025- 09- 05","100.51","101.08","101.48","99.55","13.75M","-0.42%"
"2025- 09- 04","100.93","99.91","101.35","99.65","15.64M","1.50%"
"2025- 09- 03","99.44","97.85","99.44","97.50","19.00M","1.62%"
"2025- 09- 02","97.85","97.23","97.85","96.51","15.35M","0.90%"
"2025- 08- 29","96.98","96.10","97.03","95.79","15.60M","0.91%"
"2025- 08- 28","96.11","96.00","96.57","95.70","19.24M","0.03%"
"2025- 08- 27","96.08","95.90","96.32","95.60","12.93M","0.03%"
"2025- 08- 26","96.05","96.28","96.47","95.42","22.27M","-0.02%"
"2025- 08- 25","96.07","97.00","97.58","96.07","18.96M","-0.78%"
"2025- 08- 22","96.83","98.07","99.05","96.76","32.70M","-1.15%"
"2025- 08- 21","97.96","99.41","99.45","96.95","51.83M","-4.49%"
"2025- 08- 20","102.57","101.15","102.65","100.93","18.66M","1.26%"
"2025- 08- 19","101.29","100.96","102.43","100.80","17.00M","0.59%"
"2025- 08- 18","100.70","100.00","100.88","99.92","11.66M","0.70%"
"2025- 08- 15","100.00","100.63","100.77","99.54","13.60M","-0.84%"
"2025- 08- 14","100.85","101.22","101.44","100.72","10.86M","-0.14%"
"2025- 08- 13","100.99","102.15","102.81","100.85","19.40M","-2.54%"
"2025- 08- 12","103.62","104.25","104.31","103.37","17.92M","-0.30%"
"2025- 08- 11","103.93","103.90","104.33","103.11","12.86M","0.19%"
"2025- 08- 08","103.73","103.37","104.72","103.15","12.39M","0.59%"
"2025- 08- 07","103.12","103.46","103.90","102.11","12.51M","-0.23%"
"2025- 08- 06","103.36","99.46","103.68","99.46","23.74M","4.08%"
"2025- 08- 05","99.31","99.67","100.47","98.91","17.98M","-0.28%"
"2025- 08- 04","99.59","98.20","99.91","98.20","19.05M","1.12%"
"2025- 08- 01","98.49","98.00","98.83","97.67","16.75M","0.52%"
"2025- 07- 31","97.98","97.44","98.63","97.31","15.65M","0.40%"
"2025- 07- 30","97.59","98.61","98.88","97.29","13.86M","-0.75%"
"2025- 07- 29","98.33","97.78","98.72","97.34","14.03M","0.74%"
"2025- 07- 28","97.61","97.28","98.13","97.07","12.29M","0.14%"
"2025- 07- 25","97.47","96.84","97.65","96.53","12.87M","0.90%"
"2025- 07- 24","96.60","95.57","96.96","95.35","14.99M","0.96%"
"2025- 07- 23","95.68","96.01","96.29","95.29","9.73M","-0.18%"
"2025- 07- 22","95.85","95.84","96.67","95.74","9.05M","0.19%"
"2025- 07- 21","95.67","95.25","96.64","95.10","13.45M","0.65%"
"2025- 07- 18","95.05","95.08","95.48","94.43","14.64M","-0.04%"
"2025- 07- 17","95.09","95.07","95.63","94.89","11.17M","-0.06%"
"2025- 07- 16","95.15","95.42","95.83","94.61","11.18M","-0.25%"
"2025- 07- 15","95.39","95.60","95.78","94.93","10.45M","-0.41%"
"2025- 07- 14","95.78","94.51","95.84","94.38","13.78M","1.46%"
"2025- 07- 11","94.40","95.00","95.53","94.23","14.60M","-0.48%"
"2025- 07- 10","94.86","96.66","96.78","94.74","18.89M","-2.01%"
"2025- 07- 09","96.81","97.15","97.29","96.38","13.70M","-0.29%"
"2025- 07- 08","97.09","98.82","99.17","96.51","16.87M","-2.27%"
"2025- 07- 07","99.35","98.23","99.35","97.62","12.93M","1.01%"
"2025- 07- 03","98.36","97.70","98.48","97.42","7.69M","0.77%"
"2025- 07- 02","97.61","98.13","98.38","97.06","12.50M","-0.64%"
"2025- 07- 01","98.24","97.60","99.19","97.42","15.64M","0.47%"
"2025- 06- 30","97.78","97.23","98.14","96.31","17.80M","0.52%"
"2025- 06- 27","97.27","96.32","97.76","96.16","31.43M","1.30%"
"2025- 06- 26","96.02","96.90","97.34","95.92","19.36M","-1.27%"
"2025- 06- 25","97.26","98.31","98.56","97.15","11.15M","-0.76%"
"2025- 06- 24","98.00","97.73","99.11","97.25","22.40M","0.13%"
"2025- 06- 23","97.87","95.92","97.93","95.67","20.43M","1.82%"
"2025- 06- 20","96.12","95.24","96.31","95.20","20.60M","1.08%"
"2025- 06- 18","95.09","94.57","95.49","94.09","11.33M","0.89%"
"2025- 06- 17","94.25","93.95","94.82","93.62","14.94M","-0.04%"
"2025- 06- 16","94.29","94.75","95.78","94.10","14.88M","-0.16%"
"2025- 06- 13","94.44","94.52","95.32","94.00","18.69M","-0.41%"
"2025- 06- 12","94.83","94.89","95.26","93.43","17.85M","-1.01%"
"2025- 06- 11","95.80","97.29","97.29","95.35","16.39M","-1.56%"
"2025- 06- 10","97.32","97.29","98.09","96.48","17.16M","-0.13%"
"2025- 06- 09","97.45","97.40","97.85","96.77","13.66M","-0.02%"
"2025- 06- 06","97.47","98.37","98.56","96.97","15.60M","-0.50%"
"2025- 06- 05","97.96","99.29","99.59","97.61","15.83M","-1.40%"
"2025- 06- 04","99.35","99.79","100.13","99.32","11.12M","-0.63%"
"2025- 06- 03","99.98","99.57","100.89","98.57","15.60M","0.21%"
"2025- 06- 02","99.77","98.84","99.90","98.05","17.00M","1.06%"
"2025- 05- 30","98.72","96.96","98.93","96.60","29.98M","1.67%"
"2025- 05- 29","97.10","97.63","97.77","96.85","14.34M","-0.14%"
"2025- 05- 28","97.24","97.52","98.24","97.06","11.22M","-0.35%"
"2025- 05- 27","97.58","97.30","97.79","96.58","17.18M","1.29%"
"2025- 05- 23","96.34","95.34","96.54","95.00","13.67M","0.43%"
"2025- 05- 22","95.93","96.54","96.96","95.82","13.71M","-0.52%"
"2025- 05- 21","96.43","97.13","97.76","95.97","15.74M","-1.40%"
"2025- 05- 20","97.80","98.56","98.82","96.52","15.61M","-0.33%"
"2025- 05- 19","98.12","96.65","98.28","95.81","20.04M","-0.12%"
"2025- 05- 16","98.24","96.14","99.19","96.00","33.75M","1.96%"
"2025- 05- 15","96.35","94.30","96.72","91.89","44.03M","-0.50%"
"2025- 05- 14","96.83","96.03","97.33","95.83","25.62M","0.99%"
"2025- 05- 13","95.88","96.50","97.32","95.22","19.75M","-0.90%"
"2025- 05- 12","96.75","97.67","97.97","95.62","26.78M","0.03%"
"2025- 05- 09","96.72","96.75","97.20","96.29","13.70M","-0.73%"
"2025- 05- 08","97.43","98.75","99.33","97.36","14.46M","-1.42%"
"2025- 05- 07","98.83","98.55","99.23","98.31","11.31M","0.28%"
"2025- 05- 06","98.55","98.74","99.47","98.41","10.63M","-0.79%"
"2025- 05- 05","99.33","98.94","99.74","98.53","12.44M","0.59%"
"2025- 05- 02","98.75","97.95","99.22","97.85","16.03M","1.38%"
"2025- 05- 01","97.41","97.01","97.90","96.59","13.17M","0.16%"
"2025- 04- 30","97.25","95.94","97.78","94.93","21.64M","1.26%"
"2025- 04- 29","96.04","94.84","96.18","94.42","12.68M","0.86%"
"2025- 04- 28","95.22","95.10","96.00","94.34","12.95M","0.14%"
"2025- 04- 25","95.09","95.80","96.47","94.36","15.32M","-0.78%"
"2025- 04- 24","95.84","94.71","96.21","93.66","13.44M","0.93%"
"2025- 04- 23","94.96","95.02","96.60","94.16","18.05M","0.12%"
"2025- 04- 22","94.85","92.88","95.29","92.88","15.41M","2.64%"
"2025- 04- 21","92.41","93.02","94.08","91.34","18.36M","-0.87%"
"2025- 04- 17","93.22","91.83","93.87","91.62","21.39M","2.23%"
"2025- 04- 16","91.19","94.00","94.30","90.61","22.23M","-2.96%"
"2025- 04- 15","93.97","94.82","96.03","93.87","21.87M","-0.80%"
"2025- 04- 14","94.73","93.27","95.44","92.90","27.74M","2.08%"
"2025- 04- 11","92.80","90.68","93.35","90.01","25.51M","2.42%"
"2025- 04- 10","90.61","88.73","91.87","88.16","34.74M","1.13%"
"2025- 04- 09","89.60","83.32","90.80","83.02","46.63M","9.55%"
"2025- 04- 08","81.79","85.85","86.96","81.03","34.35M","-2.43%"
"2025- 04- 07","83.83","80.24","86.26","79.81","36.88M","0.77%"
"2025- 04- 04","83.19","85.64","87.39","82.65","36.21M","-4.66%"
"2025- 04- 03","87.26","86.28","89.88","86.28","33.01M","-2.79%"
"2025- 04- 02","89.76","88.20","90.14","88.12","19.38M","1.05%"
"2025- 04- 01","88.83","87.54","89.11","87.37","22.08M","1.18%"
"2025- 03- 31","87.79","84.76","88.20","84.37","30.27M","3.10%"
"2025- 03- 28","85.15","85.43","85.83","84.70","14.79M","-0.56%"
"2025- 03- 27","85.63","84.78","86.11","84.78","16.78M","0.49%"
"2025- 03- 26","85.21","85.19","85.56","84.57","27.24M","0.53%"
"2025- 03- 25","84.76","86.76","87.31","84.62","27.91M","-3.12%"
"2025- 03- 24","87.49","86.47","87.65","86.35","17.90M","1.76%"
"2025- 03- 21","85.98","85.28","86.23","84.78","26.80M","0.20%"
"2025- 03- 20","85.81","85.81","87.08","85.51","18.19M","-0.60%"
"2025- 03- 19","86.33","85.95","86.79","85.62","24.56M","0.86%"
"2025- 03- 18","85.59","87.44","87.68","85.50","17.85M","-2.14%"
"2025- 03- 17","87.46","85.13","87.99","84.98","26.30M","2.47%"
"2025- 03- 14","85.35","84.96","85.37","84.06","35.50M","1.01%"
"2025- 03- 13","84.50","84.94","85.45","83.87","31.51M","-0.82%"
"2025- 03- 12","85.20","87.88","89.10","84.88","33.30M","-2.56%"
"2025- 03- 11","87.44","87.29","89.35","87.14","28.69M","-0.43%"
"2025- 03- 10","87.82","89.76","90.23","86.61","35.15M","-4.25%"
"2025- 03- 07","91.72","93.94","93.95","90.76","35.91M","-3.09%"
"2025- 03- 06","94.64","94.80","96.19","94.18","19.96M","-1.40%"
"2025- 03- 05","95.98","94.97","96.39","94.75","17.64M","1.06%"
"2025- 03- 04","94.97","95.76","97.05","94.46","25.23M","-2.68%"
"2025- 03- 03","97.59","97.98","99.49","96.82","18.37M","-1.03%"
"2025- 02- 28","98.61","97.79","98.86","97.17","25.45M","1.88%"
"2025- 02- 27","96.79","95.90","98.04","95.81","16.43M","0.61%"
"2025- 02- 26","96.20","97.70","98.72","96.07","19.07M","-1.53%"
"2025- 02- 25","97.69","94.35","97.91","94.24","29.33M","4.29%"
"2025- 02- 24","93.67","94.18","94.64","92.12","29.76M","-1.17%"
"2025- 02- 21","94.78","96.53","96.85","94.11","35.01M","-2.50%"
"2025- 02- 20","97.21","98.78","100.12","96.68","55.45M","-6.53%"
"2025- 02- 19","104.00","103.85","104.20","102.55","18.51M","0.21%"
"2025- 02- 18","103.78","103.72","103.99","102.51","18.25M","-0.25%"
"2025- 02- 14","104.04","105.30","105.30","103.60","14.11M","-0.96%"
"2025- 02- 13","105.05","104.00","105.24","103.53","12.60M","1.39%"
"2025- 02- 12","103.61","102.12","103.90","102.04","15.16M","1.11%"
"2025- 02- 11","102.47","102.62","102.85","101.85","11.95M","-0.44%"
"2025- 02- 10","102.92","101.95","102.93","101.25","15.27M","1.75%"
"2025- 02- 07","101.15","103.00","103.11","101.11","12.45M","-1.65%"
"2025- 02- 06","102.85","102.53","103.02","101.94","13.09M","0.38%"
"2025- 02- 05","102.46","100.65","102.58","100.54","15.93M","1.68%"
"2025- 02- 04","100.77","99.97","100.95","99.69","15.20M","1.24%"
"2025- 02- 03","99.54","96.77","99.79","96.47","20.48M","1.41%"
"2025- 01- 31","98.16","99.00","99.00","97.70","16.41M","-0.50%"
"2025- 01- 30","98.65","97.69","98.93","97.42","11.01M","1.18%"
"2025- 01- 29","97.50","97.43","98.17","97.22","11.26M","0.22%"
"2025- 01- 28","97.29","97.23","97.84","96.73","14.64M","-0.11%"
"2025- 01- 27","97.40","95.90","97.46","94.82","18.88M","2.79%"
"2025- 01- 24","94.76","93.54","95.01","93.46","14.97M","1.01%"
"2025- 01- 23","93.81","92.96","93.81","92.32","14.20M","0.62%"
